,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Undergraduate,BIOL235,Experimental Design and Data Analysis for Biology,3,"Medical Sciences, Science",,12cp at 100 level or above including ((STAT170(P) or STAT150 or STAT171) and (3cp(P) in BBE or BIOL units)),,"PSY222, PSY248, STAT270, STAT271","S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,BIOL603,none,no quota,No,"When Offered

",S1 Day and S1 External,,Michelle Leishman HoD Biology
Undergraduate,BIOL242,Marine Environmental Issues,3,Science,,(3cp from MATH or STAT units at 100 level) and (6cp from BIOL114 or BIOL115 or BIOL116 or BIOL121 or ENVE117 or ENVS117),,"MAR201, MAR202",S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,"When Offered

",S2 Day   ,,Michelle Leishman HoD Biology
Undergraduate,BIOL247,Systems Physiology,3,"Medical Sciences, Science",,BIOL257 or (6cp from BIOL115 and (BBE100 or BIOL114 or BIOL116 or BIOL108 or BIOL122)) or (HLTH108 and HLTH109) or (PSY104 and PSY105) or (PSYC104 and PSYC105),,BIOL358,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL257,Neurophysiology,3,"Medical Sciences, Science",,15cp at 100 level including (BIOL108 and BIOL115) or ((BIOL108 or BIOL115) and (BBE100 or BIOL114 or BIOL116 or BIOL122 or COGS100 or HLTH108 or PSYC104)),,"BIOL246, BIOL357","S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL260,Science of Sex,3,Science,Planet,(12cp at 100 level or above) or admission to GCertBiotech,,,TBD,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL262,Evolution,3,"Medical Sciences, Science",,15 cp including (BIOL114 and 3 cp from BIOL units at 100 level),,,S1 Day,,Department of Biological Sciences,No,BIOL602,none,no quota,No,"When Offered

",S1 Day and S1 External,,Michelle Leishman HoD Biology
Undergraduate,BIOL263,Palaeontology: The History of Life,3,Science,,(15cp at 100 level or above) including ((BIOL114 and BIOL116) or (GEOS112 and GEOS126)),,BIOL261,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL316,Invertebrate Biology,3,"Medical Sciences, Science",,39cp at 100 level or above including (BIOL262 or BIOL208 or BIOL228 or BIOL229),,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL326,Biology Special Interest Project,3,Science,,(39cp at 100 level or above) and permission by special approval,,MAR303,"S1 Day
S2 Day","
",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL328,Animal Communication,3,Science,,39cp at 100 level or above including ((BIOL114 and BIOL116) and (BIOL208 or BIOL228 or BIOL229 or BIOL257 or BIOL260 or BIOL262)),,BBE305,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,,No,Name,Animal Behaviour,more reflective of the unit content,Michelle Leishman HoD Biology
Undergraduate,BIOL334,Evolutionary and Conservation Genetics,3,"Medical Sciences, Science",,(39cp at 100 level or above) including BIOL206,,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL345,Human Genetics Theory,3,"Medical Sciences, Science",,(39cp at 100 level or above) including BIOL206(P),,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL347,Plant Biology,3,Science,,(39cp at 100 level or above) including (BIOL227 or BIOL210 or BIOL228 or BIOL229 or ENVE266),,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL349,Biodiversity and Conservation,3,Science,PACE,(39cp at 100 level or above) including BIOL227 and BIOL235,BIOL313 or BIOL316 or BIOL318 or BIOL334 or BIOL341 or BIOL347 or BIOL362 or BIOL368 or BIOL369 or BIOL372 or BIOL373,BIOL363,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,Yes,,,,
Undergraduate,BIOL364,Symbiosis in Health and Disease,3,"Medical Sciences, Science",,"39cp at 100 level or above including 12cp from BIOL units at 200 level or above
",,,S2 Day,,Department of Biological Sciences,No,none,none,no quota,No,"When Offered

",S2 Day and S2 External,,Michelle Leishman HoD Biology
Undergraduate,BIOL368,Evolutionary Ecology,3,Science,,"BIOL227 and BIOL235
",,,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,"When Offered

",S1 Day and S1 External,,Michelle Leishman HoD Biology
Undergraduate,BIOL369,Vertebrate Evolution,3,"Medical Sciences, Science",,(39cp at 100 level or above) including BIOL262 or BIOL208 or BIOL228 or BIOL229,,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL373,Aquatic Ecosystems,3,Science,,(39cp at 100 level or above) including BIOL227 or ENVS339,,,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL376,Advanced Human Physiology,3,"Medical Sciences, Science",,(BIOL247 and BIOL257) or (admission to BHumanSc and 6cp at 200 level including BIOL247),HLTH306 or HLTH310 or HLTH316 or HLTH317 or BIOL345 or BIOL367 or CBMS306 or CBMS335 or CBMS337 or PSY354 or STAT395,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,"When Offered

",S1 Day and S1 External,,Michelle Leishman HoD Biology
Undergraduate,BIOL379,Reef Evolution and Dynamics,3,Science,,39cp at 100 level or above including ((BIOL261 or BIOL263) and (BIOL208 or BIOL227 or BIOL228 or BIOL235 or BIOL262 or GEOS206 or GEOS226)) or (9cp from BIOL units and 9cp from GEOS or ENVS units),,"GEOS332, GEOS424, GEOS428, GEOS451",S1 External,Compulsory,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL381,Evolutionary Palaeobiology,3,Science,,39cp at 100 level or above including ((3cp from BIOL or GEOS units at 300 level) and 6cp from (BIOL261 or BIOL263 or BIOL262 or BIOL208 or BIOL228 or BIOL227 or BIOL235 or GEOS206 or GEOS226)),,"BIOL378, GEOS312","S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL388,Advanced Science (Biology) 3,3,Science,PACE,39cp including BIOL188 and (3cp(D) from BIOL units at 200 level) and (3cp(D) from BIOL or GEOS units at 200 level) and admission to BAdvSc and permission by special approval,,"BIOL365, BIOL366",FY1 Day,,Department of Biological Sciences,Yes,none,none,no quota,Yes,,,,
Undergraduate,BIOL391,Biological Sciences Capstone,3,"Medical Sciences, Science",,39cp at 100 level or above,3cp from BIOL301-BIOL375 or BBE305 or BBE306,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL399,Special Interest Topics in Biology,3,Science,,Permission by special approval,,BIOL390,"S2 Day
S2 External","
None",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOX122,Biological Basis of Behaviour,1,,oua-Planet,,,"SCI140, BIOL122, BBE100",S1 OUA,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOX260,Science of Sex,1,,oua-Planet,,,"BIOL260
",TBD,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS103,Organic and Biological Chemistry - The Chemistry of Life,3,"Medical Sciences, Science",,CBMS101 or HSC Chemistry Band 4 ,,,TBD,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,This unit should have been deleted in 2017 as it is not longer a part of any current program. It has been replaced by CBMS107.,Robert Willows
Undergraduate,CBMS104,Biomolecules,3,,,Admission to BClinSc,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS107,Foundations of Chemical and Biomolecular Sciences 1,3,"Medical Sciences, Science",,,,"CBMS103, CBMS603","S1 Day
S2 External","
Compulsory",Department of Chemistry and Biomolecular Sciences,No,CBMS617,none,no quota,No,,,,
Undergraduate,CBMS108,Foundations of Chemical and Biomolecular Sciences 2,3,"Medical Sciences, Science",,CBMS107 or CBMS103 or HSC Chemistry Band 5,,"CBMS102, CBMS602",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS618,none,no quota,No,"When Offered

",S2 Day and S1 External,After the first offering this year in S2 the unit will be offered as external in S1 and in Day mode in S2 to allow for repeats to catch up and part time students to complete this unit.,Robert Willows
Undergraduate,CBMS123,"Alchemy, Drugs and the Quest for Immortality",3,"Medical Sciences, Science",Planet,,,CBMS234,S2 External,None,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,"When Offered

",S2 Day and S2 External,Change offering mode as it is technically both day and external mode at present and feedback from students indicated that as it is listed as external only they didn't consider it as they thought it was only offered at nights and or weekends.,Robert Willows
Undergraduate,CBMS188,Advanced Chemistry I,3,"Medical Sciences, Science",,Admission to BAdvSc,(CBMS102 or CBMS108) and (CBMS103 or CBMS107),,FY1 Day,,Department of Chemistry and Biomolecular Sciences,Yes,none,CBMS389,no quota,No,,,,
Undergraduate,CBMS204,Organic Synthesis,3,"Medical Sciences, Science",,CBMS103 or CBMS107,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS604,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS203 in 2018,Robert Willows
Undergraduate,CBMS207,Physical and Environmental Chemistry I,3,"Medical Sciences, Science",,CBMS101(Cr) or CBMS102,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS607,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS200 in 2018,Robert Willows
Undergraduate,CBMS208,Chemical Analysis I,3,"Medical Sciences, Science",,CBMS101(Cr) or CBMS102,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS608,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS200 in 2018,Robert Willows
Undergraduate,CBMS215,Microbiology,3,"Medical Sciences, Science",,(12cp at 100 level or above) including BIOL115 and (CBMS101 or CBMS107 or HSC Chemistry Band 4),,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS615,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS202 in 2018,Robert Willows
Undergraduate,CBMS223,Biochemistry,3,"Medical Sciences, Science",,CBMS103,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS623,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS201 in 2018,Robert Willows
Undergraduate,CBMS224,Molecular Biology,3,"Medical Sciences, Science",,(CBMS103 or CBMS107) and BIOL115,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS624,none,no quota,No,Permanently Delete Unit,Permanently Delete Unit,Replaced by CBMS202 in 2018,Robert Willows
Undergraduate,CBMS235,Engaging the Community in Science,3,Science,PACE,(15cp at 100 level or above) and permission by special approval,,,FY1 Day,,Department of Chemistry and Biomolecular Sciences,Yes,none,none,30,Yes,,,,
Undergraduate,CBMS302,Chemistry Capstone,3,"Medical Sciences, Science",,,6cp from (CBMS303 or CBMS304 or CBMS306 or CBMS307 or CBMS308 or CBMS332),,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS303,Organic and Biological Chemistry A,3,"Medical Sciences, Science",,6cp in CBMS units at 200 level including CBMS204,,"CBMS340, CBMS840",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,"When Offered

",TBD,,
Undergraduate,CBMS304,Organic and Biological Chemistry B,3,"Medical Sciences, Science",,6cp in CBMS units at 200 level including CBMS204,,"CBMS341, CBMS841",2018,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,"When Offered

",S2 Day,,
Undergraduate,CBMS306,Medicinal Chemistry,3,"Medical Sciences, Science",,6cp from CBMS units at 200 level including CBMS204,,CBMS342,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS606,none,no quota,No,,,,
Undergraduate,CBMS307,Physical and Environmental Chemistry II,3,"Medical Sciences, Science",,6cp at 200 level including CBMS207,,CBMS329,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS308,Chemical Analysis II,3,"Medical Sciences, Science",PACE,CBMS208 and (CBMS204 or CBMS207),,"CBMS325, CBMS825",S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS825, ",none,no quota,Yes,,,,
Undergraduate,CBMS330,Biomolecular Sciences Capstone,3,"Medical Sciences, Science",,,9cp from (CBMS306 or CBMS331 or CBMS332 or CBMS333 or CBMS335 or CBMS336 or CBMS337 or CBMS340 or CBMS341 or CBMS342),CBMS301,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS331,Molecular and Medical Biotechnology,3,"Medical Sciences, Science",,CBMS215 and CBMS224,,"CBMS300, CBMS880",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS880, CBMS731, ",none,no quota,No,,,,
Undergraduate,CBMS332,Protein Discovery and Analysis,3,"Medical Sciences, Science",,6cp from CBMS200-CBMS233,,CBMS832,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS832, CBMS732, ",none,no quota,No,,,,
Undergraduate,CBMS335,Medical Microbiology,3,"Medical Sciences, Science",,(39cp at 100 level or above) including CBMS215,,"CBMS305, HLTH305",2019,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Undergraduate,CBMS336,Molecular Biology and Genomics,3,"Medical Sciences, Science",,(39cp at 100 level or above) including CBMS224,,"CBMS352, CBMS852, CBMS836",S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS836,none,no quota,No,,,,
Undergraduate,CBMS337,Biochemistry and Cell Biology,3,"Medical Sciences, Science",,CBMS223 and CBMS224,,"CBMS309, CBMS375, CBMS809, CBMS875",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS837,none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Undergraduate,CBMS389,Advanced Chemistry III,3,"Medical Sciences, Science",,39cp at 100 level or above including CBMS188,,,FY1 Day,,Department of Chemistry and Biomolecular Sciences,Yes,none,CBMS188,no quota,No,,,,
Undergraduate,CHIR113,Chiropractic Sciences 1,3,Science,,Admission to BChiroSc,HLTH108 or HLTH107,"CHIR101, CHIR103",S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR114,Chiropractic Sciences 2,3,Science,,Admission to BChiroSc and HLTH108(P) and (CHIR113 or CHIR103),,"CHIR101, CHIR104",S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR213,Chiropractic Sciences 3,3,Science,,Admission to BChiroSc and (CHIR113 or CHIR103) and (CHIR114 or CHIR104),,CHIR201,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR214,Chiropractic Sciences 4,3,Science,,Admission to BChiroSc and (CHIR113 or CHIR103) and (CHIR114 or CHIR104) and (CHIR213 or CHIR201),,CHIR202,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR315,Chiropractic Science 5,3,Science,,Admission to BChiroSc and (CHIR213 or CHIR201) and (CHIR214 or CHIR202),,CHIR301,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR316,Chiropractic Science 6,3,Science,,Admission to BChiroSc and (CHIR315 or CHIR301),,CHIR302,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,CHIR322,Foundations of Clinical Practice,3,Science,,"CHIR315 and HLTH316
",CHIR316 and HLTH317,HLTH333,2019,,Department of Chiropractic,No,none,none,no quota,No,,,,
Undergraduate,COMP111,Introduction to Video Games,3,"Information Technology, Science",,,,"INFO111, MAS111",S2 Day,,Department of Computing,No,MAS111,none,no quota,No,,,,
Undergraduate,COMP115,Introduction to Computer Programming,3,"Engineering, Information Technology, Science",,,,"COMP124, COMP155, ITEC100","S1 Day
S1 Evening
S3 Day","

",Department of Computing,No,none,none,no quota,No,"When Offered

","S1 Day, S1 Evening, S2 Day","Move S3 offering to S2. S3 has been small, S2 offering provides more flexibility for articulations and students starting in S2",
Undergraduate,COMP125,Fundamentals of Computer Science,3,"Engineering, Information Technology, Science",,COMP115 or admission to BActStud,,COMP165,"S1 Evening
S2 Day","
",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP188,Enrichment Topics in Computing,3,"Engineering, Information Technology, Science",,Admission to BAdvSc,,,"FY1 Day
S1 Day
S2 Day","

",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP202,Systems Programming,3,"Engineering, Information Technology, Science",,"COMP125
",,"COMP226
",S2 Day,,Department of Computing,No,ITEC692,none,no quota,No,,,,
Undergraduate,COMP225,Algorithms and Data Structures,3,"Engineering, Information Technology, Science",,COMP125 and 3cp from (MATH132-MATH136 or DMTH137 or STAT150 or STAT170 or STAT171 or STAT175),,ITEC200,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP229,Object-Oriented Programming Practices,3,"Engineering, Information Technology, Science",,COMP125(P),,ITEC200,S2 Day,,Department of Computing,No,ITEC629,none,no quota,No,,,,
Undergraduate,COMP247,Data Communications,3,"Engineering, Information Technology, Science",,COMP115 or ISYS114,,"COMP327, COMP341, ITEC102",S1 Day,,Department of Computing,No,ITEC647,none,no quota,No,,,,
Undergraduate,COMP249,Web Technology,3,"Engineering, Information Technology, Science",,COMP125 and ISYS114,,ITEC301,S1 Day,,Department of Computing,No,ITEC649,none,no quota,No,,,,
Undergraduate,COMP255,Software Engineering,3,"Engineering, Information Technology, Science",,(18cp at 100 level or above) including COMP125,,"COMP227, ISYS227, ITEC202",S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP257,Data Science,3,"Information Technology, Science",,"COMP125 and ISYS114 and (STAT170 or STAT171)
",,,S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP260,Game Design,3,"Engineering, Information Technology, Science",,COMP115 and (COMP111 or INFO111 or MAS111),,,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP329,Artificial Intelligence,3,"Commerce, Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP225 or COMP229 or COMP249),,,S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP330,Computer Graphics,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP202 and (COMP225 or COMP229) and (MATH135 or DMTH137)),,,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP332,Programming Languages,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP225 or COMP229),ISYS358 or (3cp COMP units at 300 level) or (ENGG350 and admission to BE or BE(Hons) or BEBA or BE(Hons)BA or BEBBA or BEBCom or BE(Hons)BCom or BEBSc or BE(Hons)BSc),ITEC302,S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP333,Algorithm Theory and Design,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP225 and DMTH237),,,S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP336,Advanced Databases and Enterprise Systems,3,"Engineering, Commerce, Information Technology, Science",,(39cp at 100 level or above) including [ISYS224 and (ISYS254 or COMP225 or COMP229 or COMP255)],ISYS358,ISYS326,TBD,,Department of Computing,No,ITEC626,none,no quota,No,"Name, NCCW, When Offered, Prerequisite","Big Data, Nothing, S1 Day, (39cp at 100 level or above) including COMP257",Previous details were copied from old unit ISYS326 and were not appropriate. NCCW should be removed - students should be able to study these two units.,Steve Cassidy (Computing)
Undergraduate,COMP343,Cryptography and Information Security,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP125 and (DMTH137 or DMTH237)),ISYS358,,S1 Day,,Department of Computing,No,ITEC643,none,no quota,No,,,,
Undergraduate,COMP344,E-Commerce Technology,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP249 and ISYS224),ISYS358,,S2 Day,,Department of Computing,No,ITEC644,none,no quota,No,,,,
Undergraduate,COMP347,Computer Networks,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP247 and COMP125 and (DMTH137 or DMTH237 or ELEC240)),,COMP341,S2 Day,,Department of Computing,No,ITEC697,none,no quota,No,,,,
Undergraduate,COMP348,Document Processing and the Semantic Web,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including (COMP249 or COMP257),,,S1 Day,,Department of Computing,No,ITEC648,none,no quota,No,,,,
Undergraduate,COMP350,Special Topics in Computing and Information Systems,3,"Engineering, Information Technology, Science",,Permission by special approval,,,"S1 Day
S2 Day
S3 Day","

",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP352,Videogames Project,3,"Information Technology, Science",,39cp at 100 level or above including COMP260,COMP330 or MECO329,,"S1 Day
S2 Day","
",Department of Computing,No,none,none,no quota,No,"When Offered

",S2 Day,Student numbers do not justify two offerings per year and S1 offering has been small.,Steve Cassidy (Computing)
Undergraduate,COMP353,Research Topic in Computing and Information Systems,3,"Engineering, Information Technology, Science",,Permission by special approval,,,"S1 Day
S2 Day","
",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP355,Information Technology Project,3,"Information Technology, Science",PACE,39cp at 100 level or above including (COMP225 or COMP229) and (COMP255 or ISYS227),9cp from (COMP326 or COMP329 or COMP330 or COMP332 or COMP333 or COMP342 or COMP343 or COMP344 or COMP347 or COMP348 or COMP350 or ISYS326),"COMP331, COMP340, COMP345, COMP346, ISYS346","S1 Day
S2 Day","
",Department of Computing,No,"ISYS358, ISYS355, ",none,no quota,Yes,,,,
Undergraduate,COMP356,Web Design and Development Project,3,"Information Technology, Science",PACE,(39cp at 100 level or above) including (COMP249 and MAS241),COMP344(P) or COMP348(P) or MAS340(P),,"S1 Day
S2 Day","
",Department of Computing,No,none,none,no quota,Yes,,,,
Undergraduate,COMP365,Systems Engineering Project,6,"Information Technology, Science",PACE,39cp at 100 level or above including (COMP225 and COMP255) and (admission to BITLLB),,"COMP331, COMP340, COMP345, COMP346, COMP355, ISYS346, ISYS355",FY1 Day,,Department of Computing,No,none,none,no quota,Yes,,,,
Undergraduate,COMP388,Advanced Topics in Computing and Information Systems,3,"Engineering, Information Technology, Science",,(39cp at 100 level or above) including COMP188(D) and admission to BAdvSc,,,"FY1 Day
S1 Day
S2 Day","

",Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,COMP434,Advanced Software Engineering,3,"Engineering, Science",,(60cp at 100 level or above) including (COMP333 and COMP255),,ELEC436,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Undergraduate,DMTH137,Discrete Mathematics I,3,"Engineering, Information Technology, Science",,,,MATH237,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,DMTH237,Discrete Mathematics II,3,"Engineering, Information Technology, Science",,DMTH137 or MATH133 or MATH136,,MATH237,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Undergraduate,ELEC215,Biomedical Engineering Fundamentals,3,Engineering,,"(MATH133 or MATH136) and (PHYS106 or PHYS140)
",MATH235,,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Undergraduate,ELEC240,Signals and Systems,3,"Engineering, Science",,ENGG150 and (MATH136 or MATH133),MATH235,INFO240,S2 Day,,Department of Engineering,No,none,none,no quota,No,,,,
