Data Scope,Code,Name,Credit Points,Unit Designation,Unit Type,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,Staff Contact,Offering Department,Offering Faculty,FOE - Narrow,Pass/Fail,Co-taught Units,Quota,Unit Activity,ASQCNew,ASQCRecoded,WWCC,Status,Placement in SONIA,Authority,Capstone unit?,Awards/Majors
Undergraduate,ACCG350,Financial Statement Analysis,3,Commerce,,(39cp at 100 level or above) including (ACCG252 or ACCG253 or AFIN250 or AFIN252 or AFIN253),,,"S1 Evening
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80100,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG355,Information Systems for Management,3,"Commerce, Information Technology, Science",,(39cp at 100 level or above) including (ACCG250 or ACCG251 or ISYS104),,,S2 Evening,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG358,Information Systems Audit and Assurance,3,"Commerce, Information Technology, Science",,(39cp at 100 level or above) including (ACCG250 or ACCG251),,,S1 Evening,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,20300,No,none,no quota,no activity,No,No,,Green,No,Approved ASQC 28 Feb,No,
Undergraduate,ACCG399,Accounting in Context,3,Commerce,,(42cp at 100 level or above) including ACCG315,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,Yes,"Bachelor of Applied Finance with the degree of Bachelor of Commerce - Professional Accounting
Bachelor of Business Administration with the degree of Bachelor of Commerce - Professional Accounting
Bachelor of Commerce - Professional Accounting
Bachelor of Commerce - Professional Accounting with the degree of Bachelor of Business Analytics
Bachelor of Commerce - Professional Accounting with the degree of Bachelor of Laws
Accounting major"
Undergraduate,ACSC100,Academic Communication in Science,3,Science,People,,,"ACBE100, ACSH100, CAPP100, EAP100, WACB100, WACS100, WACH100","S1 Day
S2 Day","
","Dr Deanna Wong
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACSH100,Academic Communication in the Social Sciences and Humanities,3,,People,,,"ACBE100, ACSC100, CAPP100, EAP100, WACB100, WACS100, WACH100","S1 Day
S1 External
S2 Day","
Compulsory
","Dr Maria Herke
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST101,Finance 1A,3,Commerce,,,,WACT101,"S1 Day
S1 Evening
S2 Day
S2 Evening
S3 Day","



"," Actuarial and finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81100,No,none,1950 (session 1 only),no activity,No,No,,Green,No,,No,
Undergraduate,ACST152,Introduction to Actuarial Studies,3,Commerce,,Admission to BActStud or BActStudSc or BAppFinBActStud or BActStudBProfPrac,STAT171,ACST151,S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST201,Financial Modelling,3,Commerce,,(15cp at 100 level or above) including (ACST101 and (STAT150 or STAT170 or STAT171)),,"ACST200, ACST202","S1 Day
S1 Evening
S2 Day","

"," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81100,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST202,Mathematics of Finance,3,"Commerce, Science",,(ACST101(Cr) or ACST152) and MATH133 and GPA of 4.50 (out of 7.0),,"ACST200, ACST201",S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81100,No,ACST851,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST212,Combinatorial Probability,3,"Commerce, Science",,(Admission to BActStud or BActStudSc or BAppFinBActStud or BActStudBProfPrac) and (STAT171(Cr) or STAT272),MATH133,ACST211,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,10103,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST252,Finance and Financial Reporting,3,Commerce,,(Admission to BActStud or BActStudSc or BAppFinBActStud or BActStudBProfPrac) and 21cp at 100 level or above,,"AFIN252, AFIN253",S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,ACST255,Contingent Payments 1,3,"Commerce, Science",,(Admission to BActStud or BActStudSc or BAppFinBActStud or BActStudBProfPrac) and ACST152 and ACST202 and STAT272 and GPA of 4.5 (out of 7.0),,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST859,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST306,Quantitative Asset and Liability Modelling 1,3,Commerce,,ACST202 and STAT272,,"ACCG329, ACST305, AFIN329",S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81100,No,ACST816,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST307,Quantitative Asset and Liability Modelling 2,3,Commerce,,ACST306,,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST817,no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,No,
Undergraduate,ACST315,Research/Project,3,Commerce,,48cp at 100 level or above and permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
Voluntary

Voluntary"," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,none,no quota,no activity,No,No,,Green,No,Approved by ASQC 15 June 2010,No,
Undergraduate,ACST355,Contingent Payments 2,3,"Commerce, Science",,ACST358,,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST860,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST356,Mathematical Theory of Risk,3,"Commerce, Science",,(39cp at 100 level or above) including STAT272,,,S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,10103,No,ACST861,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST357,General Insurance Pricing and Reserving,3,"Commerce, Science",,ACST356 and STAT271,,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST862,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACST358,Survival Models,3,"Commerce, Science",,ACST255 and STAT272,,,S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST818,no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,No,
Undergraduate,ACST359,Actuarial Modelling,3,"Commerce, Science",PACE,ACST358,,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST819,no quota,no activity,No,No,,Green,Yes,Academic Senate 30 March 2010,Yes,"Bachelor of Actuarial Studies
Bachelor of Actuarial Studies with the degree of Bachelor of Science
Bachelor of Applied Finance with the degree of Bachelor of Actuarial Studies"
Undergraduate,ACST402,Actuarial Control Cycle 1,3,Commerce,,ACST357 and ACST358,,ACST400,S1 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,ACST831,no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,No,
Undergraduate,ACST403,Actuarial Control Cycle 2,3,Commerce,,ACST402,,ACST401,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,"ACST832, ACST732, ",no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,No,
Undergraduate,ACST404,Investment Management,3,Commerce,,ACST255 and ACST306 and ACST357,,,S2 Day,," Actuarial staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,"ACST871, , ACST771",no quota,no activity,No,No,,Green,No,ASQC meeting 19/4/2011,No,
Undergraduate,AFAS200,Principles of Financial Literacy,3,Commerce,People,21cp at 100 level or above,,"FOBE301, FOBE302, AFAS300","S1 External
S3 External","None
None"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,Faculty recode from AFAS300,No,
Undergraduate,AFIN102,Finance 1B,3,Commerce,,ACST101,,"AFIN100, AFIN252","S1 Day
S1 Evening
S2 Day","

"," Actuarial and finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,FSQC. Recode from AFIN100,,
Undergraduate,AFIN250,Investments,3,Commerce,,((15cp at 100 level or above) including ((AFIN100 or AFIN102 or ACST152) and (ACCG100 or ACCG106) and (STAT150 or STAT170 or STAT171))) or ACST252,,,"S1 Day
S2 Day
S2 Evening","

"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81105,No,none,no quota,no activity,No,No,,Green,No,Approved as per webforms 2015.,No,
Undergraduate,AFIN253,Financial Management,3,Commerce,,21cp at 100 level or above including ((ACCG100 or ACCG106) and (STAT150 or STAT170 or STAT171 or PSY122) and ACST101 and ECON111),,"ACCG252, ACCG253, AFIN250, AFIN252","S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC meeting 8/2/2011,No,
Undergraduate,AFIN270,Stochastic Methods in Applied Finance,3,Commerce,,15cp at 100 level or above including (AFIN100 or AFIN102 or ACST152) and (STAT150 or STAT170 or STAT171),,,"S1 Day
S2 Evening","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,Approved as per webforms 2015.,No,
Undergraduate,AFIN310,Issues in Applied Finance,3,Commerce,PACE,3cp in ACST or AFIN units at 300 level,,AFIN312,"S1 Evening
S2 Evening","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,Yes,ASQC 8/2/2011,Yes,"Bachelor of Applied Finance
Bachelor of Applied Finance with the degree of Bachelor of Actuarial Studies
Bachelor of Applied Finance with the degree of Bachelor of Business Analytics
Bachelor of Applied Finance with the degree of Bachelor of Commerce - Professional Accounting
Bachelor of Applied Finance with the degree of Bachelor of Economics
Bachelor of Applied Finance with the degree of Bachelor of Laws"
Undergraduate,AFIN312,Issues in Corporate Finance,3,Commerce,PACE,ACCG350 or AFIN352 or AFIN353,,"AFIN310
","S1 Evening
S2 Evening","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,Yes,ASQC. Recode from AFIN311,Yes,Finance major
Undergraduate,AFIN315,Research/Project,3,Commerce,,48cp at 100 level or above and permission by special approval,,FIN315,"S1 Day
S1 External
S2 Day
S2 External","
Voluntary

Voluntary"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC 8/2/2011,No,
Undergraduate,AFIN328,Financial Risk Management,3,Commerce,,6cp at 200 level including (AFIN252 or (AFIN250 and (AFIN270 or STAT272))),,FIN328,S2 Day,," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC 8/2/2011,,
Undergraduate,AFIN329,Derivative Instruments,3,Commerce,,6cp at 200 level including (AFIN252 or AFIN270 or STAT272),,"ACST305, ACST306, ACCG329","S1 Evening
S2 Day","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC 8/2/2011,,
Undergraduate,AFIN331,Quantitative Modelling in Applied Finance,3,Commerce,,(39cp at 100 level or above) including AFIN252 and permission by special approval,,,TBD,," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,Approved ASQC 28 Feb 2012,No,
Undergraduate,AFIN341,Advanced Finance,3,Commerce,,(39cp at 100 level or above) including AFIN252 and permission by special approval,,,TBD,," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,Approved ASQC 28 Feb 2012,No,
Undergraduate,AFIN352,Applied Portfolio Management,3,Commerce,,6cp at 200 level including (AFIN252 or ((ACST201 or ACST202) and AFIN250)),,ACCG352,"S1 Day
S2 Evening","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC 8/2/2011,,
Undergraduate,AFIN353,Advanced Corporate Finance,3,Commerce,,6cp at 200 level including (AFIN250 or AFIN252 or AFIN253),,ACCG353,"S1 Evening
S2 Day","
"," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81101,No,none,no quota,no activity,No,No,,Green,No,ASQC 8/2/2011,,
Undergraduate,AFIN450,Research Methodology in Actuarial Studies,3,Commerce,,Permission by special approval,,ACST450,TBD,," Finance staff 
",Department of Applied Finance and Actuarial Studies,Faculty of Business and Economics,81103,No,none,no quota,no activity,No,No,,Green,No,ASQC 28/2/12,undefined,
Undergraduate,AHIS100,Introduction to Ancient Greek History,3,,,,,AHST102,"S2 Day
S2 External","
None","Dr Gil Davis
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS108,Ancient Greek A,3,,,,,"HSC Classical Greek, AHIS208, AHST205","S1 Day
S1 External","
None","Dr Ian Plant
",Department of Ancient History,Faculty of Arts,91599,No,none,no quota,no activity,No,No,,Green,No,As per Faculty Schedule of units submissions.,,
Undergraduate,AHIS110,Rome: From Republic to Empire,3,,,,,AHST103,"S1 Day
S1 External","
None","Dr Lea Beness
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS118,Latin A,3,,,,,"HSC Latin, AHIS218, AHST207","S1 Day
S1 External","
None","Associate Professor Trevor Evans
",Department of Ancient History,Faculty of Arts,91599,No,none,no quota,no activity,No,No,,Green,No,As per Faculty Schedule of units submissions.,No,
Undergraduate,AHIS120,"Antiquity's Heirs: Barbarian Europe, Byzantium, and Islam",3,,People,,,AHST104,S2 Day,,"Associate Professor Andrew Gillett
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,,
Undergraduate,AHIS140,Myth in the Ancient World,3,,People,,,AHST101,"S2 Day
S2 External
S3 External","
None
None","Dr Ian Plant
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS150,The Archaeology of Ancient Israel and the Near East,3,,,,,,"S1 Day
S1 External","
None","Dr Kyle Keimer
",Department of Ancient History,Faculty of Arts,90307,No,none,no quota,no activity,No,No,,Green,No,Approved by ASQC on 18 September 2012,No,
Undergraduate,AHIS158,Ancient Hebrew A,3,,,,,AHIS258,"S1 External
S1 Day","None
","Dr Louise Pryke
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,Yes,No,,Green,No,Approved as per webforms 2018,No,
Undergraduate,AHIS168,Coptic Egyptian A,3,,,,,AHIS268,"S1 Day
S1 External","
None","Associate Professor Malcolm Choat
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,Yes,No,,Green,No,Approved through webforms 2018,,
Undergraduate,AHIS170,Egyptian Archaeology: An Introduction,3,,,,,AHST100,"S1 Day
S1 External","
None
","Dr Alexandra Woods
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS178,Hieroglyphic Egyptian A,3,,,,,"AHIS278, AHST260","S1 Day
S1 External","
None","Professor Naguib Kanawati
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,As per Faculty Schedule of units submissions.,No,
Undergraduate,AHIS190,Digging up the Past: An Introduction to Archaeology,3,,,,,,S1 Day,,"Dr Yann Tristant
",Department of Ancient History,Faculty of Arts,90307,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,,
Undergraduate,AHIS191,World Archaeology,3,,,,,,S2 Day,,"Dr Danijel Dzino
",Department of Ancient History,Faculty of Arts,90307,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,AHIS200,Greek Bronze Age,3,,,12cp at 100 level or above,,"AHST221, AHST321",S1 Day,,"Associate Professor Kenneth Sheedy
Associate Professor Shawn Ross
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS202,The Classical Traditions of Thought,3,,,12cp at 100 level or above,,"AHIS302, AHST272, AHST372",2019,,"Dr Christopher Forbes
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS204,"Philip II, Alexander the Great, and the Macedonian Empire",3,,,"12cp at 100 level or above
",,,"S1 External
S1 Day","None
","Professor Ian Worthington
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,Yes,No,,Green,No,Approved as per webforms 2018,No,
Undergraduate,AHIS205,Introduction to Museum Practice,3,,,12cp at 100 level or above,,,"S1 Day
S1 External","
Voluntary","Dr Andrew Simpson
",Department of Ancient History,Faculty of Arts,91303,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2016.,No,
Undergraduate,AHIS209,Ancient Greek B,3,,,AHIS108 or AHIS208 or AHST205,,AHST206,"S2 Day
S2 External","
None","Dr Ian Plant
",Department of Ancient History,Faculty of Arts,91500,No,none,no quota,no activity,No,No,,Green,No,,,
Undergraduate,AHIS211,Ciceronian Rome,3,,,AHIS110 or AHST103,,AHST231,"S2 Day
S2 External","
None","Dr Lea Beness
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS219,Latin B,3,,,AHIS118 or AHIS218 or AHST207,,AHST208,"S2 Day
S2 External","
None","Associate Professor Trevor Evans
",Department of Ancient History,Faculty of Arts,91500,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS220,The Decline and Fall of the Roman Empire,3,,,"12cp at 100 level or above
",,"AHIS320, AHST233, AHST333",S1 Day,,"Associate Professor Andrew Gillett
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS230,Archaeology and Society: Archaeological Evidence,3,Science,Planet,12cp at 100 level or above,,AHST210,S2 Day,,"Dr Susan Lupack
",Department of Ancient History,Faculty of Arts,90307,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,AHIS250,From Ur to Babylon: A History of Israel from Abraham to the Babylonian Exile,3,,,12cp at 100 level or above,,AHST239,S2 Day,,"Dr Louise  Pryke
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,,No,
